Field1,Field2,Field3,Field4,Field5,Field6
77,-55.60589754,47.23268516,0.443905769,0.011874024,2020-09-06
77,-55.47383324,47.23100192,0.443905769,0.011874024,2020-09-06
77,-55.47640987,47.14104911,0.443905769,0.011874024,2020-09-06
77,-55.60825138,47.1427271,0.443905769,0.011874024,2020-09-06
78,-55.47640987,47.14104911,0.44388668,0.011872962,2020-09-16
78,-55.47383324,47.23100192,0.44388668,0.011872962,2020-09-16
78,-55.34178144,47.22916653,0.44388668,0.011872962,2020-09-16
78,-55.34458077,47.13921945,0.44388668,0.011872962,2020-09-16
78,-55.47640987,47.14104911,0.44388668,0.011872962,2020-09-16
79,-55.34458077,47.13921945,0.443865939,0.011871807,2020-09-16
79,-55.34178144,47.22916653,0.443865939,0.011871807,2020-09-16
79,-55.2097432,47.22717903,0.443865939,0.011871807,2020-09-16
79,-55.21276515,47.13723816,0.443865939,0.011871807,2020-09-16
79,-55.34458077,47.13921945,0.443865939,0.011871807,2020-09-16
80,-55.21276515,47.13723816,0.443843546,0.011870561,2020-09-16
80,-55.2097432,47.22717903,0.443843546,0.011870561,2020-09-16
80,-55.07771961,47.22503946,0.443843546,0.011870561,2020-09-16
80,-55.0809641,47.13510527,0.443843546,0.011870561,2020-09-16
80,-55.21276515,47.13723816,0.443843546,0.011870561,2020-09-16
81,-55.0809641,47.13510527,0.443819501,0.011869223,2020-09-16
81,-55.07771961,47.22503946,0.443819501,0.011869223,2020-09-16
